分组	限制项	官方值	本仓取值(官方×95%,所有者2026-08-27定稿)	接口	官方URL	官方原句	核对日期
电子表格写(sheets v2)	单次写入行数上限	5000 行	4750 行(_SHEET_WRITE_MAX_ROWS)	v2 向单个范围写入数据 PUT /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/write-data-to-a-single-range?lang=zh-CN	单次写入数据不得超过 5000 行、100列。	2026-08-27
电子表格写(sheets v2)	单次写入列数上限	100 列	95 列(_SHEET_WRITE_MAX_COLS,超限直接抛)	v2 向单个范围写入数据 PUT /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/write-data-to-a-single-range?lang=zh-CN	单次写入数据不得超过 5000 行、100列。	2026-08-27
电子表格写(sheets v2)	单元格内容长度上限	50,000 字符（官方推荐按 40,000 字符切）	40000 字符(_SHEET_CELL_HARD_MAX_CHARS,取官方自荐值)	v2 向单个范围写入数据 PUT .../values	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/write-data-to-a-single-range?lang=zh-CN	每个单元格不超过 50,000 字符，由于服务端会增加控制字符，因此推荐每个单元格不超过 40,000 字符。	2026-08-27
电子表格写(sheets v2)	range 与数据的关系约束	range 必须 ≥ 数据实际占用范围	未采用(仅存档)	v2 向单个范围写入数据 PUT .../values	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/write-data-to-a-single-range?lang=zh-CN	range 所指定的范围需要大于等于写入的数据所占用的范围	2026-08-27
电子表格写(sheets v2)	接口频率限制	100 次/秒	未采用(仅存档)	v2 向单个范围写入数据 PUT .../values	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/write-data-to-a-single-range?lang=zh-CN	接口频率限制 | 100 次/秒	2026-08-27
电子表格写(sheets v2)	单次写入行/列上限	5000 行 × 100 列	4750 行 × 95 列(本仓写通道用的就是 values_batch_update)	v2 向多个范围写入数据 POST /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_batch_update	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/write-data-to-multiple-ranges?lang=zh-CN	单次写入数据不得超过 5000 行、100列。	2026-08-27
电子表格写(sheets v2)	单元格内容长度上限	50,000 字符（推荐 40,000）	40000 字符(_SHEET_CELL_HARD_MAX_CHARS)	v2 向多个范围写入数据 POST .../values_batch_update	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/write-data-to-multiple-ranges?lang=zh-CN	每个单元格不超过 50,000 字符，由于服务端会增加控制字符，因此推荐每个单元格不超过 40,000 字符。	2026-08-27
电子表格写(sheets v2)	接口频率限制 + 并发约束	单租户单应用 100 次/秒；同一文档只能串行调用（写操作不可对同一 spreadsheet 并发）	0.3s 批间节流(_SHEET_WRITE_THROTTLE_SECS)+ 同表串行锁 _sheet_locks	v2 向单个范围写入数据 / 向多个范围写入数据（概述页限流表）	https://open.feishu.cn/document/server-docs/docs/sheets-v3/overview?lang=zh-CN	向多个范围写入数据 | 单租户单应用100次/秒；单个文档只能串行调用	2026-08-27
电子表格写(sheets v2)	单次写入行/列上限	5,000 行 × 100 列	未采用(仅存档)	v2 追加数据 POST /open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_append	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/append-data?lang=zh-CN	单次写入范围不可超过 5,000 行、100 列。每个单元格不超过 50,000 字符，由于服务端会增加控制字符，因此推荐每个单元格不超过 40,000 字符。	2026-08-27
电子表格写(sheets v2)	range 与数据的关系约束	range 必须 ≥ 追加数据占用范围	未采用(仅存档)	v2 追加数据 POST .../values_append	https://open.feishu.cn/document/server-docs/docs/sheets-v3/data-operation/append-data?lang=zh-CN	range 所指定的范围需要大于等于追加的数据所占用的范围。	2026-08-27
