# 沃尔玛官方「多久生效 / 多久处理完」口径登记表(2026-09-12 首次全量核验;2026-09-25 所有者要求逐页重核)
# 存在的理由:在途 feed 追踪到多久为止(feed 结果的落定期限),此前只能拍脑袋。官方**不给 feed 级的
# 最长处理时间**(只给轮询节奏),但给了各操作的处理 / 生效窗口。
# 所有者定稿(2026-09-25):「期限按官方值、不加余量,请实际查看官方给的期限值,不猜测,不凭记忆回答」
# ⇒ 第三列就是 services/feed_track.FEED_DEADLINE_MINUTES 的依据;同一操作官方给了几个数时取最长的那个。
# ⚠ 只登记页面上**原样存在**的句子;查无的写「官方未给」,不许推断。2026-09-25 重核发现:
#   按匹配上架那句「无法导入时最长 72 小时」已不在美国站页面(只剩加拿大站),跟卖期限因此从 72 小时改为 24 小时。
# 列:操作 | 官方值 | 落定期限 | 官方原句 | 官方URL | 核对日期
操作	官方值	落定期限(所有者 2026-09-25:官方值,不加余量)	官方原句	官方URL	核对日期
feed 轮询节奏(INPROGRESS)	15 分钟 → 1 小时 → 2 小时 → 此后每 4 小时	—(节奏,非期限)	If the feed is INPROGRESS , poll until the status changes. Recommended intervals for item feeds: 15 minutes / 1 hour / 2 hours / every 4 hours	https://developer.walmart.com/us-marketplace/docs/feeds-overview	2026-09-25
feed 级最长处理时间	**官方未给**(feeds-overview / list-all-feed-statuses / getallfeedstatuses / item-setup-sla 均无)	按下面各 feedType 的官方口径	(无此表述)	https://developer.walmart.com/us-marketplace/docs/list-all-feed-statuses	2026-09-25
feed 状态保留窗口	**官方未给**(同上四页均无;生产经验值约 30 天后 GET 404)	—	(无此表述)	https://developer.walmart.com/us-marketplace/reference/getallfeedstatuses	2026-09-25
GET feed 状态返回 404	feedId 不存在或本账号不可见	—(到期后 404 ⇒ 无法查询)	404 | Not found | The feedId does not exist or is not visible to your account.	https://developer.walmart.com/us-marketplace/docs/feeds-overview	2026-09-25
feed 状态 PROCESSED 的含义	整 feed 处理完;单条仍可能待处理 / 待审核	—(见各 feedType)	PROCESSED The system finished processing the feed. Check per-item results for the outcome. An individual item can still require additional processing or review.	https://developer.walmart.com/us-marketplace/docs/feeds-overview	2026-09-25
feed 状态 ERROR 的含义	整 feed 失败,没有一条被处理	—	ERROR The feed failed as a whole. No items were processed.	https://developer.walmart.com/us-marketplace/docs/feeds-overview	2026-09-25
逐条 SYSTEM_ERROR / TIMEOUT_ERROR 重试	至少等 1 小时	—	SYSTEM_ERROR A downstream system returned an error. Wait at least one hour and try again. / TIMEOUT_ERROR A downstream system was unavailable. Wait at least one hour and try again.	https://developer.walmart.com/us-marketplace/docs/feeds-overview	2026-09-25
单条合规审核(ingestionStatus=INPROGRESS 且带 pendingStatusDescription)	最长 24 小时	见 MP_ITEM / MP_MAINTENANCE	When an item has ingestionStatus set to INPROGRESS and pendingStatusDescription is returned, display or log the message. Edits and resubmissions cannot be processed until the compliance review is complete. The review may take up to 24 hours.	https://developer.walmart.com/us-marketplace/docs/feed-item-status-api	2026-09-25
GTIN 豁免人工审核(MP_ITEM)	feed 可先 PROCESSED、单条停在 INPROGRESS;**官方不给审核时长**;批准后等 4 小时须**重新提交**	—(到期仍 INPROGRESS ⇒ 超期未完成)	GTIN exemption review : For MP_ITEM and MP_WFS_ITEM feeds, the feed can reach PROCESSED while the item-level ingestionStatus remains INPROGRESS during GTIN exemption manual review. / The exemption is still under manual review. ... If approved, wait four hours, then resubmit the item to complete setup.	https://developer.walmart.com/us-marketplace/docs/feeds-overview ; https://developer.walmart.com/us-marketplace/docs/create-a-new-item-full-item-setup	2026-09-25
批量建品/改品处理(MP_ITEM / MP_MAINTENANCE)	最长 4 小时	24 小时(取同一操作的官方最长口径:单条合规审核最长 24 小时、Seller Center 状态更新最长 24 小时)	A bulk item submission (create or update) takes up to four hours to process.	https://developer.walmart.com/us-marketplace/docs/item-setup-sla-and-exceptions	2026-09-25
提交成功 → 数据可查(catalog 可见)	最长 6 小时	—	There is an SLA of up to six hours between when an item is successfully submitted and when the data is available.	https://developer.walmart.com/us-marketplace/docs/item-setup-sla-and-exceptions	2026-09-25
Hazmat 人工审核(Walmart-fulfilled)	最长 48 小时	—(只针对 WFS,本仓自发货不适用)	Walmart fulfilled submissions that require Hazmat checks can go into a manual Walmart associate review process. This review process is noted in the feed status response. The SLA for this review can take up to 48 hours.	https://developer.walmart.com/us-marketplace/docs/item-setup-sla-and-exceptions	2026-09-25
新品发布(Seller Center FAQ「How long will it take for my item to be published on Walmart.com?」)	摘要 4 小时;正文状态更新最长 24 小时	见 MP_ITEM	Once you publish your new item, it can take up to 4 hours to process. / After submitting your item, you can track its status from the Activity Feed in Seller Center. Updates may take up to 24 hours. Any data errors that are detected during the updates will require extra processing time	https://marketplacelearn.walmart.com/faqs/Item%20setup	2026-09-25
修错重交(Seller Center FAQ「How long does it take to resolve item setup errors?」)	最长 24 小时;危险品合规审核最长 3 个工作日	见 MP_ITEM(危险品 3 个工作日为例外:到期仍 INPROGRESS ⇒ 超期未完成,交实际结果)	After fixing errors and resubmitting the item, you can track its status from Activity Feed in Seller Center. Updates may take up to 24 hours. But if your item has a hazardous material, it will be held again for a compliance review of up to 3 business days.	https://marketplacelearn.walmart.com/faqs/Item%20setup	2026-09-25
批量改商品内容(Seller Center,对应 MP_MAINTENANCE)	最长 24 小时	见 MP_ITEM / MP_MAINTENANCE	After submitting the template, you can track its status from the Activity feed in Seller Center. Updates may take up to 24 hours. Any data errors that are detected during the updates will require extra processing time.	https://marketplacelearn.walmart.com/guides/Catalog%20management/Item%20management/Update-item-content-in-bulk-in-Seller-Center	2026-09-25
按匹配上架(MP_ITEM_MATCH / set up items by match)	最长 24 小时(美国站)	24 小时	After submitting your template, you can track its status from the Activity Feed in Seller Center. Updates may take up to 24 hours. Any data errors that are detected during the updates will require extra processing time.	https://marketplacelearn.walmart.com/guides/Item%20setup/Item%20setup/Add-items-in-bulk:-Set-up-items-by-match	2026-09-25
⚠ 按匹配上架「无法导入时最长 72 小时」(2026-09-12 曾登记)	**美国站页面已无此句**(2026-09-25 页面源码查无 "72 hour" / "unable to import");检索只在加拿大站 /ca/ 页面命中	不采用(加拿大站口径,不适用美国店)	In some cases, it may take up to 72 hours for a file to process if Walmart is unable to import the items.(仅见于 marketplacelearn.walmart.com/ca/ 页面)	https://marketplacelearn.walmart.com/ca/guides/Item%20setup/Item%20setup/quick-setup-by-match	2026-09-25
批量改价(price,旧版 PriceFeed 1.7,本仓在用)	SLA 15 分钟;提交后至少等 5 分钟再查;整 feed 处理完才有逐条结果	15 分钟	It should be called no sooner than 24 hours after a new item is set up and a wpid (Walmart Part ID) is available. Thereafter, the bulk price update has an service level agreement (SLA) of 15 minutes. / After the update is submitted, wait for at least five minutes before verifying whether the bulk price update was successful. Individual SKU price update success or failure is only available after the entire feed is processed.	https://developer.walmart.com/us-marketplace/reference/pricebulkuploads	2026-09-25
批量改价(PRICE_AND_PROMOTION)	SLA 15 分钟;提交后至少等 5 分钟再查	15 分钟	The bulk price update Service Level Agreement (SLA) is 15 minutes. / After submitting the price feed, wait at least 5 minutes before checking whether the bulk price update was successful.	https://developer.walmart.com/us-marketplace/reference/post_v3-feeds-feedtype-price-and-promotion	2026-09-25
⚠ 新建 item 发批量改价的前置条件	WPID 已分配 **且建品满 24 小时**	—(链序约束,不是期限)	For newly created items, ensure that the Walmart Part ID (WPID) has been assigned and that at least 24 hours have passed since item creation before submitting a bulk price update feed.	https://developer.walmart.com/us-marketplace/reference/post_v3-feeds-feedtype-price-and-promotion	2026-09-25
单品改价(Seller Center)	最长 4 小时;违规下架后改价、重新上架最长 48 小时	—(Seller Center 单品操作,非 feed)	Price changes may take up to four hours to update. / You can update the price again, but it may take up to 48 hours for the item to be republished.	https://marketplacelearn.walmart.com/guides/Catalog%20management/Price%20management/Update-price-individually-in-Seller-Center	2026-09-25
库存更新(inventory / MP_INVENTORY)	最快 15 分钟,最长 4 小时(开发者文档 bulk-inventory 页无时限表述)	4 小时	Updates can appear in as quickly as 15 minutes or may take up to four hours.	https://marketplacelearn.walmart.com/guides/Catalog%20management/Seller-fulfilled%20inventory%20management/Update-seller-fulfilled-inventory-in-bulk-in-Seller-Center	2026-09-25
停用/退役(RETIRE_ITEM)	通常几分钟;catalog 最长 48 小时	48 小时	A successful API call confirms the retirement request was accepted; the catalog update itself can take up to 48 hours. / Please note that it can take up to 48 hours for items to be retired from our catalog. / (Seller Center) It may take up to 48 hours to process your request. / Retired items are typically reflected on your Catalog page within minutes.	https://developer.walmart.com/us-marketplace/docs/retire-an-item ; https://marketplacelearn.walmart.com/guides/Catalog%20management/Item%20management/Retire-items-in-Seller-Center	2026-09-25
删除(DELETE_ITEM)	48 小时内删除;最长 72 小时从 Catalog 消失(开发者文档 bulk-item-delete 页无时限表述)	72 小时	Your selected items will be deleted within 48 hours. It may take up to 72 hours before your items are removed from your Catalog.	https://marketplacelearn.walmart.com/guides/Catalog%20management/Item%20management/Delete-an-item-in-Seller-Center	2026-09-25
批量删除(Seller Center 表格)	72 小时仍未处理完可找支持	—(与上一行同口径)	If 72 hours have passed and the upload still fails to process, and you continue to encounter errors after troubleshooting, select the Help button in the Seller Center menu bar to contact Support.	https://marketplacelearn.walmart.com/guides/Catalog%20management/Item%20management/delete-items-in-bulk-in-seller-center	2026-09-25
删除后 GTIN 复用	等 24 小时	—	Yes, GTINs can be reused after waiting for 24 hours.	https://marketplacelearn.walmart.com/guides/Catalog%20management/Item%20management/Delete-an-item-in-Seller-Center	2026-09-25
价格/运费违规修好后自动重新上架	通常 48 小时内	—	If prices change on Walmart.com or monitored competing websites and the item now adheres to pricing rules, Walmart will automatically republish the offer, typically within 48 hours.	https://marketplacelearn.walmart.com/guides/Catalog%20management/Troubleshooting/Troubleshoot-unpublished-items	2026-09-25
